title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Yamaha fz s 2017,"328,000",Gampaha,Katunayake,Cars & Vehicles,Motorbikes & Scooters,Yamaha,2017,Used,,fz s,,,150 ,"12,000 "
Van for hire kdh 14 seater,40,Gampaha,Kelaniya,Cars & Vehicles,Auto Services,,,,,,,,,
Isuzu 4H G1 ELF 350 1996,"2,950,000",Gampaha,Negombo,Cars & Vehicles,"Vans, Buses & Lorries",Isuzu,1996,Used,,4H G1 ELF 350,,,,"150,000 "
Van for hire kdh 15 seater,40,Gampaha,Kelaniya,Cars & Vehicles,Auto Services,,,,,,,,,
Suzuki STINGRAY SAFETY PKG 2018,"3,385,000",Gampaha,Kandana,Cars & Vehicles,Cars,Suzuki,2018,New,Automatic,STINGRAY SAFETY PKG,Hatchback,Petrol,650 ,0 
Nissan Sylphy 2003,"2,350,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Nissan,2003,Used,Automatic,Sylphy,Saloon,Petrol,"1,500 ","114,000 "
Toyota Vitz 2018,"4,475,000",Colombo,Nugegoda,Cars & Vehicles,Cars,Toyota,2018,New,Automatic,Vitz,Hatchback,Petrol,"1,000 ",0 
Suzuki Wagon-R J- Style 2015,"3,005,000",Colombo,Mount Lavinia,Cars & Vehicles,Cars,Suzuki,2015,Used,Automatic,Wagon-R J- Style,Hatchback,Petrol,660 ,"11,900 "
Nissan E 24 1991,"2,250,000",Kandy,Katugastota,Cars & Vehicles,"Vans, Buses & Lorries",Nissan,1991,Used,,E 24,,,,"563,236 "
Toyota YARIS FULL OPTION 2008,"2,990,000",Colombo,Boralesgamuwa,Cars & Vehicles,Cars,Toyota,2008,Used,Manual,YARIS FULL OPTION,Saloon,Petrol,"1,300 ","82,000 "
Mitsubishi Lancer Ck1 1996,"1,850,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Mitsubishi,1996,Used,Manual,Lancer Ck1,Saloon,Petrol,"1,300 ","120,000 "
Toyota Fortuner 2009,"6,890,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Toyota,2009,Used,Tiptronic,Fortuner,,Petrol,"2,700 ","78,500 "
MIRROR LINK DVD SETUP KDH YARIS VIOS,"19,999",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,,,New,,,,,,
Suzuki Liana(Aerio) 2004,"1,990,000",Kandy,Kandy,Cars & Vehicles,Cars,Suzuki,2004,Used,Manual,Liana(Aerio),Saloon,Petrol,"1,300 ","113,000 "
Suzuki Spacia 2017 වසර 7කින් ගෙවන්න,"1,439",Colombo,Kaduwela,Cars & Vehicles,Auto Services,,,,,,,,,
