title,price,district,town,main category,sub category,Brand,Model year,Condition,Transmission,Model,Body type,Fuel type,Engine capacity,Mileage
Toyota AQUA S-LIMITED 2015,"4,390,000",Colombo,Boralesgamuwa,Cars & Vehicles,Cars,Used,Toyota,2015,AQUA S-LIMITED,"1,500 ","58,000 "
Bajaj Pulser 135(XC-####) 2012,"70,000",Kalutara,Panadura,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2012,Pulser 135(XC-####),135 ,"48,000 "
Yamaha Fz s 2018,"100,000",Kalutara,Horana,Cars & Vehicles,Motorbikes & Scooters,New,Yamaha,2018,Fz s,150 ,0 
VITZ MIRROR LINK Bluetooth Dvd Player,"19,999",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
TVS Scooty pep+ 2010,"57,000",Gampaha,Katunayake,Cars & Vehicles,Motorbikes & Scooters,Used,TVS,2010,Scooty pep+,90 ,"20,000 "
Bajaj discover 2016,"165,000",Kegalle,Mawanella,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2016,discover,125 ,"17,600 "
Bajaj V 12 -Met Black 2018,"84,220",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,V 12 -Met Black,125 ,0 
Audi A3 sport pack 2018,"7,500,000",Colombo,Battaramulla,Cars & Vehicles,Cars,New,Audi,2018,A3 sport pack,"1,000 ",0 
Bajaj 160_Ns_Pulsar_Blue 2018,"118,680",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,160_Ns_Pulsar_Blue,160 ,0 
Bajaj pulsar ls 135 B-Red 2018,"93,030",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,pulsar ls 135 B-Red,135 ,0 
Excavater PC100-3,"2,150,000",Matale,Galewela,Cars & Vehicles,Heavy Machinery & Tractors,Used,,,,,
Bajaj CT 100 2012,"85,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2012,CT 100,100 ,"36,000 "
Bajaj _ Pulsar 200 NS| 2018,"135,570",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,_ Pulsar 200 NS|,200 ,0 
TVS Apachi (BCM) 2015,"193,000",Kegalle,Kegalle,Cars & Vehicles,Motorbikes & Scooters,Used,TVS,2015,Apachi (BCM)2015,150 ,"22,450 "
Toyota Allion NZT260 2014,"6,050,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Toyota,2014,Allion NZT260,"1,500 ","69,800 "
Bajaj O_PULSAR-180-E-BLK 2018,"119,155",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,O_PULSAR-180-E-BLK,180 ,0 
HONDA N WGN CUSTOM 2018 BRAND NEW,"3,350,000",Colombo,Nugegoda,Cars & Vehicles,Auto Services,,,,,,
Toyota C-HR GT TURBO 2017,"7,750,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Reconditioned,Toyota,2017,C-HR GT TURBO,"1,200 ","5,717 "
Honda DIO (RED-GRAY) NEW 2018,"243,900",Gampaha,Wattala,Cars & Vehicles,Motorbikes & Scooters,New,Honda,2018,DIO (RED-GRAY) NEW,110 ,0 
Honda CB UNICORN 2018,"351,900",Gampaha,Wattala,Cars & Vehicles,Motorbikes & Scooters,New,Honda,2018,CB UNICORN,160 ,0 
Toyota CHR-GT TURBO 2017,"7,850,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,New,Toyota,2017,CHR-GT TURBO,"1,200 ",0 
Suzuki Swift (Japan) 2008,"2,840,000",Galle,Galle,Cars & Vehicles,Cars,Used,Suzuki,2008,Swift (Japan),"1,300 ","85,000 "
Suzuki Escudo Grand Vitara 2006,"4,150,000",Kandy,Kandy,Cars & Vehicles,Cars,Used,Suzuki,2006,Escudo Grand Vitara,"1,990 ","140,000 "
Suzuki ALTO L GRADE 2016,"2,445,000",Gampaha,Veyangoda,Cars & Vehicles,Cars,Reconditioned,Suzuki,2016,ALTO L GRADE,650 ,"11,000 "
Mitsubishi MIRAGE 2015,"3,150,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Reconditioned,Mitsubishi,2015,MIRAGE,"1,000 ","38,900 "
Zotye Nomad 2 2011,"2,050,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Used,Zotye,2011,Nomad 2,"1,500 ","53,000 "
Toyota passo 2013,"2,875,000",Kandy,Kandy,Cars & Vehicles,Cars,Used,Toyota,2013,passo,"1,000 ","40,000 "
New Vitz Navi Map Support Dvd Player,"19,999",Colombo,Nugegoda,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
TIRE 195/65/15 PIRELLY,"35,000",Colombo,Piliyandala,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Suzuki ALTO HYBRID JAPAN 2017,"2,490,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Used,Suzuki,2017,ALTO HYBRID JAPAN,650 ,"4,399 "
TOYOTA CHR FRONT BUFFER,"8,000",Colombo,Talawatugoda,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Honda City 2003,"2,490,000",Colombo,Maharagama,Cars & Vehicles,Cars,Used,Honda,2003,City,"1,500 ","200,000 "
Bajaj O_PULSAR-200-NS-B 2018,"138,070",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,O_PULSAR-200-NS-B,200 ,0 
Toyota hilux 2018,"9,800,000",Colombo,Nugegoda,Cars & Vehicles,Cars,New,Toyota,2018,hilux,"1,800 ",0 
Toyota Allion DBA-NZT260 2009,"4,700,000",Gampaha,Minuwangoda,Cars & Vehicles,Cars,Used,Toyota,2009,Allion DBA-NZT260,"1,500 ","116,000 "
PRIUS DOOR SET,"35,000",Colombo,Talawatugoda,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
INSIGHT HYBRID CAR FOR RENT,"4,000",Colombo,Mount Lavinia,Cars & Vehicles,Auto Services,,,,,,
Toyota PASSO 2016,"3,385,000",Gampaha,Ja-Ela,Cars & Vehicles,Cars,Reconditioned,Toyota,2016,PASSO,"1,000 ","11,635 "
Bajaj PLATINA 2012,"78,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2012,PLATINA,125 ,"30,000 "
Suzuki swift 2002,"2,200,000",Kalutara,Panadura,Cars & Vehicles,Cars,Used,Suzuki,2002,swift,"1,300 ","109,894 "
Hyundai ACCENT 2001,"1,580,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Hyundai,2001,ACCENT,"1,495 ","116,499 "
Kia SEPIYA 2000,"1,190,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Used,Kia,2000,SEPIYA,"1,500 ","120,000 "
Micro Kyron 2008,"3,075,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Micro,2008,Kyron,"2,000 ","135,000 "
HONDA VEZEL KEY COVER,500,Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Suzuki LIANA 2002,"1,925,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Suzuki,2002,LIANA,"1,328 ","88,490 "
Honda FIT S GRADE 2014,"4,350,000",Gampaha,Negombo,Cars & Vehicles,Cars,Used,Honda,2014,FIT S GRADE,"1,500 ","32,500 "
Honda Pcx Shocket,"12,500",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Toyota Aqua g 2013,"3,750,000",Kurunegala,Kurunegala,Cars & Vehicles,Cars,Used,Toyota,2013,Aqua g,"1,500 ","56,000 "
Suzuki Alto Sport 2015,"1,860,000",Colombo,Moratuwa,Cars & Vehicles,Cars,Used,Suzuki,2015,Alto Sport,800 ,"47,000 "
Mitsubishi Tipper chas truck 2001,"2,875,000",Kandy,Kandy,Cars & Vehicles,"Vans, Buses & Lorries",Used,Mitsubishi,2001,Tipper chas truck,,"231,000 "
Mitsubishi Pajero Montero Hub Cup cap,"3,500",Colombo,Mount Lavinia,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
SUZUKI WAGONR 2018 KEY COVER,"1,200",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
SUZUKI WAGON R 2015 KEY COVER,500,Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
HONDA FIT GP5 KEY COVER,500,Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
TOYOTA AQUA WELCOME LIGHT,"3,900",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Car subwoofer 10 inch,"10,000",Gampaha,Negombo,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Suzuki wagon R Stingray T,"3,490,000",Colombo,Nugegoda,Cars & Vehicles,Auto Services,,,,,,
Bajaj platina 125 2011,"88,000",Kandy,Digana,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2011,platina 125,125 ,"42,000 "
Yamaha TW carburetor,"12,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Pajero Sun Visors,"8,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Bajaj Three Wheeler,"530,000",Gampaha,Gampaha,Cars & Vehicles,Three Wheelers,Used,,,,,
Bajaj Pulser 135 LS 2012,"40,000",Colombo,Boralesgamuwa,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2012,Pulser 135 LS,135 ,"42,160 "
Honda EK3 1996,"1,765,000",Kandy,Katugastota,Cars & Vehicles,Cars,Used,Honda,1996,EK3,"1,500 ","100,000 "
Tata Dimo batta 2011,"800,000",Matara,Matara,Cars & Vehicles,"Vans, Buses & Lorries",Used,Tata,2011,Dimo batta,,"45,200 "
HONDA PUSH START BUTTON,"17,000",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Suzuki japan seat set,"20,000",Colombo,Malabe,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Nissan TIIDA Latio 2007,"2,700,000",Kandy,Kandy,Cars & Vehicles,Cars,Used,Nissan,2007,TIIDA Latio,"1,500 ","107,000 "
Honda FIT GP-5 2014,"4,175,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Honda,2014,FIT GP-5,"1,490 ","64,353 "
Yamaha TW Tail Light,"12,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Yamaha TW Mono Shocks,"18,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Honda Dio 2012,"125,000",Colombo,Pannipitiya,Cars & Vehicles,Motorbikes & Scooters,Used,Honda,2012,Dio,110 ,"21,000 "
Toyota Aqua 2012,"4,150,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Used,Toyota,2012,Aqua,"1,500 ","32,800 "
LED Car DRL Flexible Strip Soft Tube,"1,900",Badulla,Ella,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Toyota Passo 2007,"2,450,000",Ratnapura,Kuruwita,Cars & Vehicles,Cars,Used,Toyota,2007,Passo,"1,000 ","112,000 "
Honda Benly 125 2007,"250,000",Kurunegala,Pannala,Cars & Vehicles,Motorbikes & Scooters,Used,Honda,2007,Benly 125,125 ,"47,000 "
Honda Insight 2009,"3,300,000",Colombo,Battaramulla,Cars & Vehicles,Cars,Used,Honda,2009,Insight,"1,330 ","92,750 "
TOYOTA PRIUS GENUINE AIR FILTER,"2,850",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Suzuki wgon R FX 2017,"2,850,000",Colombo,Nugegoda,Cars & Vehicles,Auto Services,,,,,,
Toyota Zen 1983,"1,525,000",Colombo,Homagama,Cars & Vehicles,"Vans, Buses & Lorries",Used,Toyota,1983,Zen,,"65,000 "
2 in1 Brake & Signal light,"1,450",Moneragala,Wellawaya,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
NISSAN N16 ANTENNA,"2,700",Jaffna,Jaffna,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Hero CBZ DIGITAL 2012,"35,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Used,Hero,2012,CBZ DIGITAL,150 ,"55,000 "
Yamaha TW Swingarm,"8,500",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
AUDI A4 BONNET,"63,800",Ratnapura,Ratnapura,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Toyota Aqua 2012,"4,000,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Used,Toyota,2012,Aqua,"1,500 ","82,000 "
Toyota NZT 260 Allion 2008,"4,475,000",Kandy,Kandy,Cars & Vehicles,Cars,Used,Toyota,2008,NZT 260 Allion,"1,490 ","61,000 "
Toyota Axio Hybrid G grade 2013,"4,385,000",Kandy,Kandy,Cars & Vehicles,Cars,Used,Toyota,2013,Axio Hybrid G grade,"1,500 ","53,000 "
Kia sportage 2010,"4,850,000",Kalutara,Panadura,Cars & Vehicles,Cars,Used,Kia,2010,sportage,"2,000 ","51,888 "
Suzuki Alto LXI 2017,"2,060,000",Galle,Galle,Cars & Vehicles,Cars,Used,Suzuki,2017,Alto LXI,800 ,"25,000 "
Yamaha FZ-S 2012,"223,000",Gampaha,Veyangoda,Cars & Vehicles,Motorbikes & Scooters,Used,Yamaha,2012,FZ-S,153 ,"55,000 "
Bajaj Pulsar 2013,"198,000",Kalutara,Kalutara,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2013,Pulsar,150 ,"37,865 "
Bajaj Three Wheeler,"625,000",Matara,Matara,Cars & Vehicles,Three Wheelers,Used,,,,,
Honda Pcx Tail Light,"15,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
ALLION CAR FOR RENT,"4,750",Colombo,Nugegoda,Cars & Vehicles,Auto Services,,,,,,
Toyota 121 2003,"3,075,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Used,Toyota,2003,121,"1,500 ","119,000 "
Bajaj O_PULSAR-200-NS-R 2018,"138,070",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,O_PULSAR-200-NS-R,200 ,0 
2in1 DRL+Turn light,"3,500",Badulla,Ella,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Bajaj 4 Stroke 2011 Three Wheeler,"120,000",Kurunegala,Narammala,Cars & Vehicles,Three Wheelers,Used,,,,,
Bajaj O_PULSAR_200-NS-Y 2018,"138,070",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,O_PULSAR_200-NS-Y,200 ,0 
RENT-A-CAR MG ZS SUV,"125,000",Colombo,Rajagiriya,Cars & Vehicles,Auto Services,,,,,,
Mazda familia bj5p 2000,"1,900,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Used,Mazda,2000,mazda familia bj5p,"1,500 ","173,000 "
Hyundai Accent 2011,"3,350,000",Colombo,Kotte,Cars & Vehicles,Cars,Used,Hyundai,2011,Aent,"1,600 ","89,000 "
Bajaj O_PULSAR_200-RS-B 2018,"176,485",Colombo,Wellampitiya,Cars & Vehicles,Motorbikes & Scooters,New,Bajaj,2018,O_PULSAR_200-RS-B,200 ,0 
Toyota KDH 201 super GL 2014,"7,190,000",Hambantota,Tangalla,Cars & Vehicles,"Vans, Buses & Lorries",Used,Toyota,2014,KDH 201 super GL,,"98,000 "
Bajaj Pulsar-180 UK-xxxx 2009,"99,000",Gampaha,Minuwangoda,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2009,Pulsar-180 UK-xxxx,150 ,"36,528 "
TOYOTA AQUA RIBBON,"5,750",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
17 RALLY SPARCO ALLOYS,"55,000",Colombo,Rajagiriya,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
NISSAN NAVARA RIBBON,"8,300",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Suzuki HUSTLER SAFETY 2015,"2,790,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Reconditioned,Suzuki,2015,HUSTLER SAFETY,660 ,"16,300 "
TOYOTA AXIO STEERING SPIRAL RIBBON,"5,750",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Yamaha TW 200 Engine,"55,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Full face helmet,"4,200",Kandy,Kandy,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Isuzu tipper 1997,"3,350,000",Colombo,Kaduwela,Cars & Vehicles,"Vans, Buses & Lorries",Used,Isuzu,1997,tipper,,"250,000 "
Bajaj Three Wheeler,"545,000",Matara,Matara,Cars & Vehicles,Three Wheelers,Used,,,,,
Toyota Axio 141 X Grade 2007,"3,750,000",Kandy,Peradeniya,Cars & Vehicles,Cars,Used,Toyota,2007,Axio 141 X Grade,"1,500 ","80,000 "
Honda Hornet Air Cleaner,"14,500",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Yamaha TW Engine Guard,"3,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
FIAT NELUM STEERING BUSH,"1,450",Colombo,Colombo 10,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Toyota Land Cruiser(FJ) 2014,"13,800,000",Kalutara,Panadura,Cars & Vehicles,Cars,Used,Toyota,2014,Land Cruiser(FJ),"4,000 ","49,000 "
Daihatsu Mira 2015,"2,380,000",Colombo,Malabe,Cars & Vehicles,Cars,Reconditioned,Daihatsu,2015,Mira,650 ,"8,000 "
Suzuki maruti zen 2004,"1,195,000",Kalutara,Panadura,Cars & Vehicles,Cars,Used,Suzuki,2004,maruti zen,"1,000 ","92,000 "
Toyota premio 2017,"7,425,000",Kalutara,Kalutara,Cars & Vehicles,Cars,Used,Toyota,2017,premio,"1,500 ","23,000 "
Toyota PREMIO G Superior 2013,"5,850,000",Kurunegala,Alawwa,Cars & Vehicles,Cars,Used,Toyota,2013,PREMIO G Superior,"1,500 ","65,000 "
Toyota AXIO 2014,"5,100,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Toyota,2014,AXIO,"1,500 ","42,400 "
Hyundai Accent 2001,"1,390,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Used,Hyundai,2001,Aent,"1,300 ","189,500 "
19 Chrome alloys with BN Pirelli tyres,"165,000",Colombo,Rajagiriya,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
NISSAN LEAF GENUINE CABIN FILTER,"2,250",Colombo,Kottawa,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
SONY CAR DISPLAY,"5,750",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Rim for KDH,"20,000",Kurunegala,Pannala,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Original Soarer 18 alloys,"130,000",Colombo,Rajagiriya,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
TOYOTA PRIUS SPIRAL ASSEMBLY RIBBON,"5,750",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Three Wheeler,"585,000",Hambantota,Beliatta,Cars & Vehicles,Three Wheelers,Used,,,,,
Bajaj ct100 2015,"130,000",Kurunegala,Kurunegala,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2015,ct100,100 ,"49,000 "
FIAT DOBLO TAPPET COVER PACKING,"9,750",Colombo,Colombo 10,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Toyota Diesel Engine,"300,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
Suzuki swift 2007,"1,900,000",Colombo,Mount Lavinia,Cars & Vehicles,Cars,Used,Suzuki,2007,swift,650 ,"73,000 "
Toyota Hiace Dolphin LH113 Van Face cut,"160,000",Kurunegala,Kuliyapitiya,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
BMW 318 M-SPORT Digital 2018,"11,795,000",Colombo,Kohuwala,Cars & Vehicles,Cars,New,BMW,2018,318 M-SPORT Digital,"1,500 ",0 
Prius ABS,"57,000",Gampaha,Gampaha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
TOYOTA FOG LED,"3,700",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Toyota Lite Ace CM36 1991,"1,695,000",Kandy,Katugastota,Cars & Vehicles,"Vans, Buses & Lorries",Used,Toyota,1991,Lite Ace CM36,,"100,000 "
TVS metro 2016,"20,000",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,Used,TVS,2016,metro,100 ,"12,000 "
Perodua viva elite 2012,"2,215,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Used,Perodua,2012,viva elite,"1,000 ","49,000 "
Mercedes-Benz CLA180 AMG C Class 2017,"11,200,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Reconditioned,Mercedes-Benz,2017,CLA180 AMG C Class,"1,600 ","3,000 "
CAR HEAD UP DISPLAY,"6,750",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
SUZUKI FOG LED,"3,700",Gampaha,Kadawatha,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Batta Lorry For Hire,45,Colombo,Colombo 10,Cars & Vehicles,Auto Services,,,,,,
Want obd2 Mini Scanner Sales Agent,"2,000",Kalutara,Kalutara,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
JAC Lorry For Hire & Moving,70,Colombo,Colombo 15,Cars & Vehicles,Auto Services,,,,,,
Toyota Prius Japan 2011,"3,750,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Used,Toyota,2011,Prius Japan,"1,500 ","70,000 "
BMW 318 Luxury Pkg 2017,"10,700,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,New,BMW,2017,318 Luxury Pkg,"1,500 ",0 
Honda Vezel RS Sensing 2017,"6,950,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Used,Honda,2017,Vezel RS Sensing,"1,500 ","7,500 "
Toyota Starlet EP91 1998,"2,100,000",Gampaha,Katunayake,Cars & Vehicles,Cars,Used,Toyota,1998,Starlet EP91,"1,300 ","166,957 "
Klx Tank Cup,"2,000",Gampaha,Kiribathgoda,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Bajaj pulsar AS 2015,"97,000",Colombo,Kaduwela,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2015,pulsar AS,150 ,"30,000 "
Nissan March K11 2004,"1,665,000",Matale,Matale,Cars & Vehicles,Cars,Used,Nissan,2004,March K11,"1,000 ","146,000 "
Tata 4WD Double Cab 2006,"1,975,000",Colombo,Piliyandala,Cars & Vehicles,Cars,Used,Tata,2006,4WD Double Cab,"2,000 ","130,000 "
Hornet Coolant Tank,"2,500",Gampaha,Kiribathgoda,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Yamaha Fascino 2016,"195,000",Colombo,Piliyandala,Cars & Vehicles,Motorbikes & Scooters,Used,Yamaha,2016,Fascino,115 ,"12,600 "
Power steering rack repair kit Kia,"3,000",Badulla,Badulla,Cars & Vehicles,Auto Parts & Accessories,New,,,,,
Demak DTM 150 2016,"130,000",Colombo,Rajagiriya,Cars & Vehicles,Motorbikes & Scooters,Used,Demak,2016,DTM 150,150 ,"11,500 "
Honda Vezel RS 2016,"6,890,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Reconditioned,Honda,2016,Vezel RS,"1,500 ","16,000 "
Bajaj PULSER NS200 2013,"265,000",Kalutara,Kalutara,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2013,PULSER NS200,200 ,"41,000 "
Suzuki Alto 2015,"1,790,000",Gampaha,Katunayake,Cars & Vehicles,Cars,Used,Suzuki,2015,Alto,800 ,"34,800 "
Honda Fit GP5 S Grade 2014,"4,500,000",Gampaha,Kelaniya,Cars & Vehicles,Cars,Used,Honda,2014,Fit GP5 S Grade,"1,500 ","85,000 "
Japan ladies bicycle,"12,000",Kalutara,Panadura,Cars & Vehicles,Push Cycles,Used,,,,,
Lumala bicycle,"16,000",Colombo,Rajagiriya,Cars & Vehicles,Push Cycles,Used,,,,,
Prius Hybrid Battery,"175,000",Colombo,Colombo 3,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Suzuki Alto Sports 2011,"1,690,000",Colombo,Kohuwala,Cars & Vehicles,Cars,Used,Suzuki,2011,Alto Sports,800 ,"45,600 "
Tadano 2.5 Boom Crane,"250,000",Galle,Galle,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Suzuki Alto 2015,"1,795,000",Colombo,Rajagiriya,Cars & Vehicles,Cars,Used,Suzuki,2015,Alto,800 ,"22,000 "
Honda GRAZIA 2018,"87,000",Colombo,Rajagiriya,Cars & Vehicles,Motorbikes & Scooters,New,Honda,2018,GRAZIA,125 ,0 
Bajaj Platina 2013,"112,000",Colombo,Athurugiriya,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2013,Platina,100 ,"25,000 "
Bajaj pulsar 180 2011,"165,000",Kalutara,Horana,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2011,pulsar 180,180 ,"65,000 "
Mitsubishi lancer flat light 1978,"395,000",Gampaha,Gampaha,Cars & Vehicles,Cars,Used,Mitsubishi,1978,lancer flat light,"1,400 ","65,500 "
Honda Hornet 2014,"720,000",Matara,Akuressa,Cars & Vehicles,Motorbikes & Scooters,Used,Honda,2014,Hornet,250 ,"17,523 "
Toyota Premio 2013,"6,150,000",Colombo,Boralesgamuwa,Cars & Vehicles,Cars,Used,Toyota,2013,Premio,"1,500 ","62,850 "
Demak civic 110 2018,"43,000",Gampaha,Gampaha,Cars & Vehicles,Motorbikes & Scooters,New,Demak,2018,civic 110,110 ,5 
Suzuki Swift jeep model 2003,"2,150,000",Colombo,Kotte,Cars & Vehicles,Cars,Used,Suzuki,2003,Swift jeep model,"1,300 ","111,000 "
Alloy wheel,"23,000",Gampaha,Gampaha,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Honda DIO 2018,"52,000",Colombo,Colombo 13,Cars & Vehicles,Motorbikes & Scooters,New,Honda,2018,DIO,110 ,0 
OPEN MINI LORRY FOR HIRE SERVICES,"1,600",Colombo,Nawala,Cars & Vehicles,Auto Services,,,,,,
LORRY FOR HIRE LARGE TRUCK ON MOVERS,"2,500",Colombo,Nugegoda,Cars & Vehicles,Auto Services,,,,,,
Ssang Yong Rexton 2007,"4,000,000",Colombo,Colombo 13,Cars & Vehicles,Cars,Used,Ssang Yong,2007,Rexton,"2,000 ","170,000 "
Honda DIO 2015,"55,000",Colombo,Moratuwa,Cars & Vehicles,Motorbikes & Scooters,Used,Honda,2015,DIO,110 ,"8,600 "
Toyota CAMRY 1991,"1,190,000",Colombo,Malabe,Cars & Vehicles,Cars,Used,Toyota,1991,CAMRY,"1,790 ","249,280 "
Bajaj Platina 125 2012,"88,000",Colombo,Pannipitiya,Cars & Vehicles,Motorbikes & Scooters,Used,Bajaj,2012,Platina 125,125 ,"32,000 "
Toyota VITZ 2015,"3,580,000",Colombo,Kaduwela,Cars & Vehicles,Cars,Reconditioned,Toyota,2015,VITZ,990 ,"14,423 "
Vehicle Ladder,"15,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Used,,,,,
Honda XR 250,"15,000",Kurunegala,Kurunegala,Cars & Vehicles,Auto Parts & Accessories,Reconditioned,,,,,
